                 l            r(l,1)            r(l,2)            r(l,3)                Vp
    6.900000000E+01    5.684513450E+01    6.795209050E+01    1.862690449E+02    2.418726574E-06
    7.000000000E+01    1.244780049E+01    2.098043412E+01    3.329250574E+02    1.170113219E-18
    7.100000000E+01    1.385257300E+00    3.157265484E+01    3.006078005E+02    2.300694744E-16
    7.200000000E+01    8.226308823E+01    1.696783453E+01    2.735392332E+02    4.919700394E-13
    7.300000000E+01    4.187289774E+01    8.215539455E+01    2.453611374E+02    1.697140319E-10
    7.400000000E+01    1.168943495E+01    1.785175875E+00    2.306976318E+02    5.002025659E-11
    7.500000000E+01    8.788746595E+00    3.555068076E+01    1.629448831E+01    2.685801342E+00
    7.600000000E+01    3.693046272E+01    9.800667763E+01    3.212635756E+02    7.952702882E-18
    7.700000000E+01    4.474812150E+01    9.400956333E+00    5.027886629E+01    3.748075029E-01
    7.800000000E+01    2.312287129E+00    4.461862445E+01    9.793135524E+01    3.163087766E-03
    7.900000000E+01    6.172289848E+01    8.899902105E+01    3.651702881E+02    2.164286556E-21
    8.000000000E+01    7.112112045E+01    9.520988464E+01    1.976150721E+01    1.143345290E+00
    8.100000000E+01    9.634249806E+01    4.485912323E+01    4.314927459E+01    2.294394029E-01
    8.200000000E+01    5.777543187E+01    6.831601262E+01    1.588360518E+01    5.633037040E+00
    8.300000000E+01    1.981182545E+01    8.355527520E+01    2.948509693E+02    8.301119916E-15
    8.400000000E+01    8.610249758E+01    8.591718674E+01    2.184263468E+02    5.714697431E-09
    8.500000000E+01    6.133078933E+01    5.854367465E+00    3.079535961E+02    2.566148167E-16
    8.600000000E+01    4.127842188E+01    9.019193649E+01    2.287418842E+02    1.584855502E-09
    8.700000000E+01    9.075363874E+01    6.091602445E+01    2.115732431E+02    2.296090797E-08
    8.800000000E+01    3.666331768E+01    8.219586611E+01    1.476211995E+01    4.755872034E+00
    8.900000000E+01    9.036355019E+01    1.481128782E+01    9.048883319E+01    1.112827663E-02
    9.000000000E+01    7.423244119E+01    5.000615716E+01    3.688972235E+02    1.597008571E-21
    9.100000000E+01    8.595228940E+00    5.598827600E+01    1.635827184E+02    1.296477154E-05
    9.200000000E+01    8.008759022E+01    5.044272542E+01    2.426169395E+02    3.241717680E-10
    9.300000000E+01    4.041015208E+01    8.765766621E+01    1.544860721E+02    6.004186351E-05
    9.400000000E+01    7.264963984E+01    9.509195685E+01    1.028917432E+02    3.589718151E-03
    9.500000000E+01    9.531118721E+00    3.948447406E+01    2.156711072E+01    2.058311276E+00
    9.600000000E+01    9.620102644E+01    9.243311882E+01    1.699515462E+02    7.976967624E-07
    9.700000000E+01    6.818642020E+01    7.711310983E+01    7.315442562E+01    1.651579310E-01
    9.800000000E+01    5.446413159E+01    8.080364466E+01    2.322091341E+02    1.769330416E-09
    9.900000000E+01    1.385326833E+01    6.186999083E+01    1.892615318E+02    6.825929022E-07
    1.000000000E+02    9.589973092E+01    4.701095521E+01    1.071857333E+02    2.665973678E-03
    1.010000000E+02    7.966932654E+01    3.010027409E+01    2.301654339E+02    1.949064708E-09
    1.020000000E+02    5.878204107E+01    6.604217291E+01    2.726501942E+02    2.039330196E-12
    1.030000000E+02    6.423639059E+01    9.997792840E+01    3.749767542E+02    6.470361270E-24
    1.040000000E+02    5.313939452E+01    4.286749065E+01    3.691313744E+02    1.532659245E-21
    1.050000000E+02    2.364642620E+01    9.232164025E+01    2.764214039E+02    1.779565810E-13
    1.060000000E+02    2.330468595E+01    5.324394107E+01    3.714052916E+02    5.049954488E-22
    1.070000000E+02    3.568537235E+01    3.338275850E+01    1.089230180E+02    1.302314296E-02
    1.080000000E+02    2.777169347E+01    5.724428296E+01    2.444861412E+02    2.445760500E-10
    1.090000000E+02    1.398138851E+01    5.178859830E+01    6.978768706E+01    1.567881163E-01
    1.100000000E+02    7.596575618E+01    5.349107981E+01    2.907026768E+02    5.137019822E-14
    1.110000000E+02    8.385533690E+01    9.148647785E+01    3.208897591E+02    2.575182729E-17
    1.120000000E+02    2.764657140E+01    3.343339562E+01    3.400668621E+02    8.259498811E-19
    1.130000000E+02    6.613398194E+01    1.046238169E+01    2.011931419E+02    9.092943897E-08
    1.140000000E+02    7.251040936E+01    3.812724650E+01    4.508841336E+01    1.200587787E+00
    1.150000000E+02    8.556965590E+01    2.681137323E+01    3.229896307E+02    2.720199109E-17
    1.160000000E+02    3.482266366E+01    4.568598568E+01    1.171216965E+02    6.911565876E-03
    1.170000000E+02    3.600335121E+00    5.332343578E+01    2.350059986E+02    1.632626183E-10
    1.180000000E+02    3.268042579E+00    5.962077975E+01    3.623175323E+01    3.052996277E-01
    1.190000000E+02    1.826350689E+01    2.821994573E+00    1.080376744E+02    8.698867092E-04
    1.200000000E+02    3.674313128E+01    2.233871222E+01    1.327284694E+02    9.703767229E-04
    1.210000000E+02    5.257276297E+01    3.356274664E+01    2.465533972E+02    2.010033968E-10
    1.220000000E+02    7.668389082E+01    6.349753737E+01    7.352555394E+01    1.776293663E-01
    1.230000000E+02    3.271136284E+01    7.375411391E+01    7.997201681E+01    1.133037183E-01
    1.240000000E+02    9.094339609E+01    1.258840412E+01    2.802892685E+02    5.391220748E-14
    1.250000000E+02    8.880322576E+01    5.906406641E+01    3.778427362E+02    1.001522977E-22
    1.260000000E+02    5.790162683E+01    5.471892357E+01    9.992129207E+01    3.563097928E-02
    1.270000000E+02    8.346077204E+01    6.029296517E+01    3.544321060E+02    3.789084084E-20
    1.280000000E+02    7.209175825E+01    2.851839960E+01    3.055981159E+02    1.883703740E-15
    1.290000000E+02    2.232245542E+00    7.332664132E+01    3.352488995E+02    2.103156679E-19
    1.300000000E+02    6.775588393E+01    8.849180341E+01    2.318001986E+02    1.081040835E-09
    1.310000000E+02    4.750953615E+00    7.820339799E+01    3.586813688E+02    1.694111586E-21
    1.320000000E+02    1.141099855E+01    4.626391456E+00    2.418482065E+02    1.957074749E-11
    1.330000000E+02    8.998573422E+01    8.986327648E+01    3.705662489E+02    2.313344582E-22
    1.340000000E+02    5.376551151E+01    2.409670055E+01    2.621415138E+02    9.316323521E-12
    1.350000000E+02    7.278562188E+01    1.868130863E+01    3.007693052E+02    3.316567189E-15
    1.360000000E+02    9.519123435E+01    9.032022953E+01    2.198712587E+02    1.211966158E-09
    1.370000000E+02    9.137230515E+01    7.412015796E+01    7.261975408E+01    6.233054517E-02
